,PC1 - CVR: 59.03494%,PC2 - CVR: 79.78684%,PC3 - CVR: 86.38222%,PC4 - CVR: 90.61222%,PC5 - CVR: 93.05592%,PC6 - CVR: 95.19849%,PC7 - CVR: 96.48024%,PC8 - CVR: 97.55565%,PC9 - CVR: 98.22377%,PC10 - CVR: 98.68405%,PC11 - CVR: 99.05712%,PC12 - CVR: 99.31350%,PC13 - CVR: 99.47341%,PC14 - CVR: 99.59341%,PC15 - CVR: 99.69998%,PC16 - CVR: 99.75044%,PC17 - CVR: 99.79340%,PC18 - CVR: 99.83438%,PC19 - CVR: 99.86488%,PC20 - CVR: 99.88476%,PC21 - CVR: 99.90209%,PC22 - CVR: 99.91634%,PC23 - CVR: 99.92930%,PC24 - CVR: 99.93908%,PC25 - CVR: 99.94685%,PC26 - CVR: 99.95408%,PC27 - CVR: 99.95968%,PC28 - CVR: 99.96487%,PC29 - CVR: 99.96866%,PC30 - CVR: 99.97202%,PC31 - CVR: 99.97500%,PC32 - CVR: 99.97772%,PC33 - CVR: 99.97983%,PC34 - CVR: 99.98182%,PC35 - CVR: 99.98346%,PC36 - CVR: 99.98496%,PC37 - CVR: 99.98633%,PC38 - CVR: 99.98742%,PC39 - CVR: 99.98849%,PC40 - CVR: 99.98944%,PC41 - CVR: 99.99018%
1791.9177,-0.001397177794729659,-0.004483961592144998,-0.01132586519278766,0.00545291922969396,-0.022775933646132316,-0.007371094000330759,0.02543372874787311,-0.059770446046950226,-0.06051820046319005,-0.03449530055748935,-0.04299212429695047,0.002938339213691515,-0.009191851565898536,0.06447692982602733,-0.06360149895799512,-0.01809532992644424,0.056576511164299896,-0.02138232074348142,-0.07755287142852396,-0.02992199265384053,-0.01250245094706932,0.032430138488611794,0.043355799072820785,0.011625481502417769,-0.004176398448551417,-0.010445374776717337,-0.05435623315948948,0.020397336412726078,0.03445045911959187,0.02387790929285849,-0.06292291621447926,-0.022567046368676253,0.023251253827303968,0.015821948675205696,-0.0018878302919065999,-0.026410123146156726,0.08173528487817033,0.01562916674157306,-0.06155129180393113,-0.030487790741875104,0.03640033580085315
1790.9858,0.0009607177125229453,0.004983823748770046,-0.01940902702436439,0.015470439896163254,-0.014944350840217849,-0.01649897427827819,0.01917985710805087,-0.0434849742071906,-0.048357876703833305,-0.02800991435092248,-0.014093935320500668,-0.0017459044367861346,-0.01289865121124396,0.0453199644740594,-0.04733430512865168,-0.009824728348388597,0.038381346271372525,-0.020097400738786173,-0.06260370165432919,-0.027368558801239434,-0.022888960197228747,0.034193671917925945,0.02665844937602029,0.007893593404293436,0.018749110962914223,-0.030139350809349295,-0.04041321088101661,-0.004966132190244574,0.03549249045829444,0.0026611518680369705,-0.021506146465459057,-0.013791209006126647,0.014471261026986858,-0.013655066112667568,0.0068539152185176635,0.006499668095404623,0.05974121061242496,0.03922651461139469,-0.0450084180629414,0.006838512216555673,0.0548921974827834
1790.054,0.0016804957918671838,0.008866235975645845,-0.019350390292798697,0.022259455682768783,-0.004761383678569113,-0.013557782368429824,0.0135674065640937,-0.055905179838883386,-0.04298476848394425,-0.02683875776899753,-0.01111158713038333,0.0041353858176650824,-0.009639252708997815,0.038614243907533166,-0.05520869100842605,-0.011235369342848663,0.05212016842800089,-0.013036845683665433,-0.07351517907484817,-0.04107182270506343,-0.031270355150881536,0.04359566880923473,0.019504963200389983,0.028093258479959273,0.01121016483878761,-0.04301943312862537,-0.03372437520503303,-0.018277038665980055,0.023606594830332336,-0.007853183402491314,-0.028845076115921506,-0.00925019898143492,0.016978616559964074,3.715476111083618e-05,0.029914660644241937,-0.020745144406321758,0.05769097919058936,0.011155886156487058,-0.06272053747642363,0.0028756634316656152,0.03789053120575859
1789.1222,0.0012025915870125016,-0.0018884987655647903,-0.007560053138622272,0.005871324563533208,-0.007041435423680174,-0.017839902183612387,0.02061486642258641,-0.0659282647761595,-0.02655397351263899,-0.019597577105389646,-0.01675175756508057,0.0016352827533639527,-0.010970101817303856,0.04657024529006619,-0.04760302450125119,-0.002270233398175148,0.03162943310990278,-0.009738039546945604,-0.07520488195542163,-0.038714160397804315,-0.022641763215158883,0.0429492707271685,0.017347630755656273,0.018479366329168797,0.029670923017362967,-0.021887524899910867,-0.04327403278147871,-0.004727164793002131,0.022392223099498385,-0.0011427300595842269,-0.029379698166176776,-0.01970976801832026,0.02145365256831432,0.014560405241654084,0.011829255002245732,-0.038756439938349124,0.04204906906832357,0.013556045186948177,-0.05438226372646695,0.009931497788572203,0.052504832262666466
1788.1903,-0.0007358668352727829,1.81883294385007e-05,-0.01518121673116731,0.009318481002546059,-0.012834936170759592,-0.00857886157509609,0.018986522105192683,-0.03561836769827799,-0.03640969452231043,-0.028060101239062798,-0.02071581044703297,0.01114664510953569,-0.0218910067079235,0.056671252649862364,-0.0488819583985606,0.0003193680177148642,0.03198668919919503,-0.025732449878638868,-0.06756929133530849,-0.04393928626590895,-0.019060884866098218,0.04930075998790641,0.011111620617601396,0.010648991351588161,0.0063358741112479544,-0.04413582074409583,-0.057545557738128784,-0.010541706293790244,0.01764455134876529,0.007499066796740252,0.010043426046307825,-0.02614030695018793,-0.0007027367510162333,-0.011690028054621476,0.037435000336326955,-0.0009564005343772874,0.03872495348350218,0.015022683488686924,-0.010926380637249026,0.014407282163114848,0.02362797210338805
1787.2585,-0.0016695248377507103,0.00658541245445325,-0.02118832533431549,0.01856302768555588,-0.011975990134747153,-0.0018568222471395512,0.01923458795790406,-0.03709731242185359,-0.04002492445486207,-0.03898495642514326,-0.015072917183949524,0.010736808415965913,-0.008481621367398877,0.046868963066947766,-0.06743356806809095,-0.011788021974816418,0.040369837963556504,-0.024449022303637068,-0.07840039949724738,-0.03558239659915457,-0.015740870978683107,0.03616473492959933,0.024444553181545235,0.036518465714274584,0.003547718044901952,-0.03523922464921236,-0.04849951393748784,2.0425285052350558e-05,0.030327263835259462,-0.0008947843195089576,-0.009353847921863985,-0.035943189348051234,-0.010407822175597402,-0.019461448556472468,0.034342974611178995,-0.005583315855897126,0.04648747853566092,0.0049374614786154595,-0.025131479647093346,-0.0036172998414569567,0.014134584561432243
1786.3267,-0.0007312249291609466,0.00358103348367487,-0.020613042064758103,0.013134820870964842,-0.024751837380882925,-0.011569874109590057,0.013008451783956383,-0.036448376029869514,-0.048980524417924005,-0.04027310865235383,-0.013728074132584782,0.005968172281312705,-0.009510091703032453,0.050429220853384374,-0.05132087221264517,-0.016159745454920653,0.05748680144233348,-0.012245798348068758,-0.06076266089240936,-0.03712871409580292,-0.035104193125287765,0.010476150434263804,0.005016999926130422,0.03894856572305612,0.013990300668147465,-0.030897950586446517,-0.0587778561091578,0.01557325532715745,0.027370482493894305,-0.0070746185247657105,-0.015608177674231692,0.01362322665234168,0.02181938094195184,-0.011068061395917707,0.05085398239453815,-0.030537304963754265,0.0388718868843302,-0.01148458141773684,-0.017394360763863314,-0.02389806241311929,0.041492297337312495
1785.3948,-0.00039080502272458717,0.007594792512392031,-0.01785857661478987,0.016491248278026557,-0.008943123234517293,-0.012875903758527341,0.026017363525765825,-0.050700555244145455,-0.044227323640143666,-0.01795439547883604,-0.012285220902761913,-0.0027261454314017083,-0.007070206020134457,0.038382525408159666,-0.0552390785810823,-0.02196115009359272,0.023970977648831947,-0.008823831320310553,-0.07008316460427949,-0.03910639930333722,-0.026743608738323505,0.034930496558115094,0.011715092137597503,0.015725631192898503,0.02507089569396928,-0.04074711552986997,-0.04136952530058963,0.008967174392151191,0.025401661835780413,-0.023093264743499004,-0.014580860662412515,-0.03402511349387302,0.017781178616624847,-0.005252435162619692,0.0461967776763373,-0.003486383881568549,0.024397143046797815,-0.022480576528892005,-0.012616636903443562,-0.01876014622715846,0.029752010720470717
1784.463,0.0004997135307366093,0.0010561012645330023,-0.014433760981476702,0.007175404179924476,-0.00018047136264906974,-0.019995907458134784,0.027767803898766454,-0.037539348373593504,-0.029516567299481968,-0.031099566346509726,-0.023744858826744045,0.005064319334725778,-0.023306964858247074,0.049641456346420115,-0.03796791131432753,-0.008943688931308228,0.02692135662881391,-0.0023320357416607494,-0.07220142659758477,-0.04075482685856955,-0.02195369181817375,0.03243239412475498,0.024524602321658887,0.011708528900591913,0.02461063634797468,-0.051764747686992275,-0.04510984079975922,0.003164999980577995,0.022750078974935202,-0.023955058397414224,-0.03243260047869511,-0.01333839882145131,0.0025530872130456613,-0.012984336766219942,0.018221837117782077,-0.01277978012462293,0.001465792173888827,-0.01059088862454598,-0.010312222695895084,-0.013798639793011127,0.031851288483422224
1783.5312,-0.0009666409022184042,0.00012181397707661046,-0.015358592690348,0.00527256939052969,-0.011017683228407028,-0.016780745768103573,0.022223760800263292,-0.027539327835260898,-0.025883824189181625,-0.035347195705350144,-0.022474227605981004,0.013165139344757886,-0.0185436472963855,0.053411090006051334,-0.04122543683079562,0.012986325464189763,0.01857282368223521,-0.019423843594907626,-0.07282535783149893,-0.05318611704638176,-0.0321124293832532,0.03725952100182783,-0.021026155151724596,0.012596534698367549,0.045124731171288415,-0.06001227574381335,-0.07482445033831611,-0.021020338643780126,0.04125769033103164,-0.01787086092206523,0.02010925303569414,0.003286795575168122,-0.008792235453522371,-0.02482295723822022,0.020195418190927444,-0.013791348128406825,0.0007796776136855199,-0.012957848941968912,0.013580951794066442,0.007555004865123824,0.02936281489181396
